CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mFAP_MR
static_car,0.6900621309738395,0.9090900735294118,0.599366512091679,0.8559926470588236,0.6453943601042195,0.8812893907563024,0.18537052256331155,0.1619953008156783,0.08582786236257144,0.2802680599281567,0.1872166414792426,0.7614074304127918,1.5982652821400987,0.23634425792699174,0.6308103752101856
linear_car,0.6164186339249212,0.9195509032584839,0.07615116926702523,0.3158450109741685,0.30770829026253316,0.6062625117580377,0.1707711146056916,0.1574316783114665,0.055953839981475774,0.2797772817505072,0.1947032961688895,0.7716113022391462,1.6536829926122512,0.24883846513740984,0.2497548329504907
nonlinear_car,0.8937203939841027,0.9114850036576445,0.02871084376894175,0.07004389173372348,0.40499575317580366,0.4455141603093322,0.17024618039644443,0.15724451338864734,0.055019606948811375,0.2805726467098559,0.19555558731287812,0.7737723237872511,1.6597667594562362,0.24949504987002583,0.09704603348007539
static_pedestrian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
linear_pedestrian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
nonlinear_pedestrian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
