CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mFAP_MR
car,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pedestrian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
