CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mFAP_MR
static_car,0.690058871268156,0.9090900735294118,0.6269335877226339,0.8732720588235294,0.6562554910574514,0.8890651260504203,0.18537052256331155,0.1619953008156783,0.08582786236257144,0.2802680599281567,0.1872166414792426,0.6982545742604231,1.3971724500913894,0.1916688871125322,0.653307887195944
linear_car,0.6164268407499205,0.9195509032584839,0.09559356831130979,0.37485227080871175,0.31498230999445287,0.6197149128096283,0.1707711146056916,0.1574316783114665,0.055953839981475774,0.2797772817505072,0.1947032961688895,0.7039189832281748,1.4353817612913162,0.1995420744754662,0.2711499610311285
nonlinear_car,0.8937203939841027,0.9114850036576445,0.06979114054545602,0.15398683247988296,0.4191392842107876,0.47733566725885673,0.17024618039644443,0.15724451338864734,0.055019606948811375,0.2805726467098559,0.19555558731287812,0.7059527042927651,1.4413277376548639,0.20026397033186014,0.10879461450591085
static_pedestrian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
linear_pedestrian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
nonlinear_pedestrian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
